SupplierID,SupplierName,ContactName,Email,Phone,City,Country,Rating
20,D’Alia Textiles & Apparel Ltd.,Ranveer Kumar,sarinaarav@yohannan.biz,+915951484656,Ahmedabad,India,4.8
21,Merchant Textiles & Apparel Ltd.,Rehaan Salvi,nghosh@mitra.com,03699577738,Jaipur,India,4.49
22,Solanki Textiles & Apparel Ltd.,Frado Mander,girik34@issac.com,+913791769367,Tiruppur,India,3.85
23,Ratta Textiles & Apparel Ltd.,Manbir Ahluwalia,sandaltheodore@vasa.com,3172788957,Mumbai,India,4.73
24,Thaman Textiles & Apparel Ltd.,Sanaya Dutt,qsengupta@malhotra.info,3471434558,Tiruppur,India,4.83
25,Buch Textiles & Apparel Ltd.,Matthew Kashyap,tdua@bhatt.biz,08760366909,Tiruppur,India,4.26
26,Rai Textiles & Apparel Ltd.,Abeer Pandey,madhavi68@kannan.com,07065627298,Kolkata,India,4.56
27,Bala Textiles & Apparel Ltd.,Avi Chacko,ddeshmukh@bedi.biz,03755646417,Jaipur,India,4.0
28,Bahl Textiles & Apparel Ltd.,Inaya Kapur,bariaazaan@iyengar.org,+913271937452,Jaipur,India,4.05
29,Contractor Textiles & Apparel Ltd.,Deepa Chokshi,munikeya@issac-borra.org,3149190586,Ahmedabad,India,4.64
30,Prabhakar Textiles & Apparel Ltd.,Yashawini Om,salvivrishti@sant.info,2628498776,Tiruppur,India,4.53
31,Loyal Textiles & Apparel Ltd.,Yatan Chadha,shravya37@raghavan.info,02735454948,Ludhiana,India,4.44
32,Anne Textiles & Apparel Ltd.,Frederick Khurana,jsuresh@soni.info,00143634957,Mumbai,India,4.0
33,Wali Textiles & Apparel Ltd.,Pavani Narayanan,sudiksha44@kashyap-dara.com,01823374989,Coimbatore,India,4.12
34,Mandal Textiles & Apparel Ltd.,Rishi Minhas,jalsagola@atwal-walla.com,00084271094,Mumbai,India,4.62
35,Singh Textiles & Apparel Ltd.,Ridhi Oak,charankrishnan@comar-bhattacharyya.biz,01902294131,Surat,India,4.07
36,Saha Textiles & Apparel Ltd.,Lajita Seshadri,lmishra@mody-bhasin.org,1334123281,Surat,India,4.77
37,Dugar Textiles & Apparel Ltd.,Nilima Seshadri,cmanne@mani.com,7134936183,Coimbatore,India,4.12
38,Dixit Textiles & Apparel Ltd.,Lucky Bora,gandhidamyanti@mani.info,4648877190,Mumbai,India,4.9
39,Sankaran Textiles & Apparel Ltd.,Zashil Bal,karnikansh@luthra.info,7429671756,Jaipur,India,4.06
40,Nath Textiles & Apparel Ltd.,Henry Dyal,nisha74@rattan.com,04516808760,Kolkata,India,4.27
41,Guha Textiles & Apparel Ltd.,Wishi Sathe,janiamara@deep.info,+910932480861,Kolkata,India,3.97
42,Kar Textiles & Apparel Ltd.,Triya Dalal,wishimanne@mahajan.info,+917826398214,Ludhiana,India,4.1
43,Sachdeva Textiles & Apparel Ltd.,Yashica Loke,mandalchanchal@suri.net,05588675339,Ahmedabad,India,4.7
44,Rajagopal Textiles & Apparel Ltd.,Nirja Bassi,urvashi66@doshi.com,9517187026,Coimbatore,India,4.88
45,Dubey Textiles & Apparel Ltd.,Upasna Lanka,mitali15@walla.info,0913431611,Coimbatore,India,4.23
46,Sawhney Textiles & Apparel Ltd.,Chandani Balakrishnan,nairdaksh@parmer-prasad.biz,+913869222196,Ludhiana,India,4.41
47,Khosla Textiles & Apparel Ltd.,Luke Kata,dkumar@andra-shroff.com,8217594647,Tiruppur,India,4.71
48,Mittal Textiles & Apparel Ltd.,Leena Subramanian,khalsalakshmi@parmer.com,6409097439,Tiruppur,India,3.98
49,Pandey Textiles & Apparel Ltd.,Ranveer Krishna,gunbirbaral@sastry-bandi.org,02145623285,Ludhiana,India,4.75
50,Wali Textiles & Apparel Ltd.,Nitesh Kurian,vmerchant@contractor-sidhu.com,+913685160481,Coimbatore,India,4.52
