SupplierID,SupplierName,ContactName,Email,Phone,City,Country,Rating
35,"Pham, Robinson and Lee Direct",Perry Saunders,courtneyberger@williams.com,001-621-445-6232x8588,Robinfort,USA,4.07
36,Francis-Morgan Direct,Victor Taylor,michelleramsey@coffey-ballard.com,860-748-1754,Lake Jesustown,USA,4.33
37,"Henson, Hoffman and Herman Direct",Arthur Colon,debra12@shah.info,813-482-6758,Penafort,USA,4.74
38,"Russell, Lynn and Johnson Direct",Jeremy Sampson,cory58@howard.com,513.590.0532x931,West Kim,USA,4.43
39,"Smith, Garrison and Thomas Direct",David Thompson,andersonmichael@chapman.com,302-968-1177x589,New Bradley,USA,4.79
40,"Boyd, Ellis and Maynard Direct",John Morales,henryrenee@lam.org,(612)949-9856,Garciaville,USA,4.37
41,"Curtis, Mack and Le Direct",Jesse Perez,maria66@davis.com,(471)211-1615,Elizabethchester,USA,4.56
42,Russo-Pugh Direct,Thomas Williams,caroline51@romero.com,(285)614-9368x998,East Joshuaport,USA,3.57
43,Bell-White Direct,Matthew Jones,davisalyssa@barnes-peterson.com,859-991-0229x0147,Perryborough,USA,3.84
44,"Wilson, Jordan and Campbell Direct",Katelyn Estrada,walkertracey@smith.com,001-724-345-1076x22683,Hensleyton,USA,3.93
45,Smith-Morse Direct,Laura Berry,zroberts@burch.org,651.761.3696x816,West Kimberly,USA,3.62
46,Dixon Inc Direct,Cheyenne Parsons,jessica23@thomas.com,+1-721-427-7997x995,Jonesmouth,USA,3.85
47,"Turner, Hill and Brown Direct",Emily Hayes,woodjustin@lin.net,(279)980-7935x9782,Port Rachelmouth,USA,3.65
48,"Miller, Lucas and Williams Direct",Wendy Warren,michaelhardin@ortiz-morgan.org,4517518644,New Elizabethstad,USA,3.92
49,Ponce-Hale Direct,Kurt Hurley,angelica52@warner.net,768-950-5423,East Zoe,USA,4.45
50,Jones Inc Direct,Kimberly Rodgers,stanleynancy@anderson.org,(970)565-3794,West Tammy,USA,4.05
